hub,destination,flights/wk,seats/flight,miles
IAH,DFW,,,
IAH,ATL,,,
IAH,LAS,,,
IAH,LGA,,,
IAH,MCO,,,
IAH,MIA,,,
IAH,DTW,,,
IAH,MSY,,,
IAH,BNA,,,
IAH,PHX,,,
IAH,CLT,,,
IAH,SAT,,,
IAH,AUS,,,
IAH,OKC,,,
IAH,FLL,,,
IAH,CRP,,,
IAH,SEA,,,
IAH,BOS,,,
IAH,PHL,,,
IAH,MAF,,,
IAH,MSP,,,
IAH,ELP,,,
IAH,LFT,,,
IAH,SAN,,,
IAH,MFE,,,
IAH,SLC,,,
IAH,TUL,,,
IAH,BTR,,,
IAH,DCA,,,
IAH,XNA,,,
IAH,HSV,,,
IAH,LIT,,,
IAH,MEM,,,
IAH,SHV,,,
IAH,TYS,,,
IAH,TPA,,,
IAH,BHM,,,
IAH,BRO,,,
IAH,BWI,,,
IAH,CLE,,,
IAH,CVG,,,
IAH,HRL,,,
IAH,ICT,,,
IAH,JAN,,,
IAH,MOB,,,
IAH,PNS,,,
IAH,SGF,,,
IAH,SNA,,,
IAH,YYZ,,,
IAH,ABQ,,,
IAH,STL,,,
IAH,IND,,,
IAH,LBB,,,
IAH,LRD,,,
IAH,MCI,,,
IAH,RDU,,,
IAH,PIB,,,
IAH,LCH,,,
IAH,YYC,,,
IAH,AMA,,,
IAH,ECP,,,
IAH,GPT,,,
IAH,JAX,,,
IAH,PDX,,,
IAH,YVR,,,
IAH,SDF,,,
IAH,PIT,,,
IAH,CMH,,,
IAH,CHS,,,
IAH,DSM,,,
IAH,GSP,,,
IAH,HNL,,,
IAH,MKE,,,
IAH,OMA,,,
IAH,RSW,,,
IAH,SAV,,,
IAH,SMF,,,
IAH,TUS,,,
IAH,ASE,,,
IAH,COS,,,
IAH,VCT,,,
IAH,ONT,,,
IAH,RIC,,,
IAH,EGE,,,
IAH,GRR,,,
IAH,GUC,,,
IAH,MEI,,,
IAH,HOB,,,
IAH,MTJ,,,
IAH,ORF,,,
IAH,PBI,,,
IAH,SJC,,,
IAH,ANC,,,
IAH,BOI,,,
IAH,LNK,,,
IAH,PSP,,,
IAH,DRO,,,
IAH,JAC,,,
IAH,RNO,,,
IAH,FCA,,,
IAH,MSN,,,
IAH,BZN,,,
IAH,HDN,,,
IAH,SAF,,,
IAH,EYW,,,
IAH,SRQ,,,
IAH,BDL,7,,1513
IAH,TVC,,,
