hub,destination,,,,
LAX,LAS,,,,
LAX,HNL,,,,
LAX,SEA,,,,
LAX,PHX,,,,
LAX,SMF,,,,
LAX,BOS,,,,
LAX,SLC,,,,
LAX,AUS,,,,
LAX,YVR,,,,
LAX,MCO,,,,
LAX,OGG,,,,
LAX,RNO,,,,
LAX,LIH,,,,
LAX,ASE,,,,
LAX,BOI,,,,
LAX,BWI,,,,
LAX,KOA,,,,
LAX,SAN,,,,
LAX,YYC,,,,
LAX,SBP,,,,
LAX,FAT,,,,
LAX,MRY,,,,
LAX,CLE,,,,
LAX,TPA,,,,
LAX,JAC,,,,
LAX,RDM,,,,
LAX,SBA,,,,
LAX,FCA,,,,
LAX,SUN,,,,
LAX,RDD,,,,
LAX,ACV,,,,
LAX,BZN,,,,
LAX,PRC,,,,
LAX,EGE,7,70,751,12/19/2024
LAX,HDN,7,70,767,12/19/2024
LAX,MTJ,2,70,668,12/21/2024
LAX,PSP,7,76,110,10/27/2024
