hub,destination,,,miles,ASM
ORD,LGA,94,148,732,
ORD,BOS,50,163,865,
ORD,MSP,51,144,333,
ORD,LAS,41,175.5,1519,
ORD,PHX,34.5,179,806,
ORD,DFW,33,138,802,
ORD,ATL,32,135.5,607,
ORD,DCA,63,135.5,610,
ORD,SEA,34.5,166.5,1717,
ORD,DTW,41,80,233,
ORD,YYZ,46,108.5,435,
ORD,BNA,34,113,409,
ORD,MCO,34.5,184,1007,
ORD,PHL,32,159.5,676,
ORD,CLT,24,138,599,
ORD,STL,46,71.5,257,
ORD,MIA,14,167,1200,
ORD,IND,43,71.5,177,
ORD,GRR,39,75,136,
ORD,CLE,38,142.5,315,
ORD,MCI,34,138.5,402,
ORD,MKE,36,54,66,
ORD,CVG,34,89.5,264,
ORD,CMH,34,103,295,
ORD,AUS,26,148.8,979,
ORD,MSN,33,78.5,108,
ORD,SDF,33,63.5,286,
ORD,ATW,33,54.5,160,
ORD,FLL,19.5,178,1185,
ORD,SAN,33,166,1722,
ORD,SLC,20,144.5,1247,
ORD,OMA,27,126.5,415,
ORD,PIT,32,118,410,
ORD,PDX,33,159,1736,
ORD,TPA,20,166,1014,
ORD,RDU,24,143,646,
ORD,BWI,20,150,620,
ORD,CID,23,90,195,
ORD,RSW,20,170.5,1123,
ORD,TVC,21,81,223,
ORD,TYS,26.5,62.5,475,
ORD,BUF,27,112,472,
ORD,SNA,26,146,1724,
ORD,DAY,25,64,239,
ORD,FSD,20,83,461,
ORD,LEX,26,51,323,
ORD,DSM,25,101,298,
ORD,GRB,23,56,173,
ORD,MLI,23,60,139,
ORD,MEM,26,85,492,
ORD,OKC,20,82,692,
ORD,PIA,19,50,129,
ORD,RIC,21,89,641,
ORD,SGF,17,50,438,
ORD,TUL,19,67,585,
ORD,BDL,20,140,781,
ORD,FWA,18,50,155,
ORD,YUL,19,75,746,
ORD,ICT,20,58,587,
ORD,LIT,18,58,553,
ORD,MDT,18,98,592,
ORD,ROC,19,115,527,
ORD,MSY,20,102,839,
ORD,SYR,18,84,605,
ORD,ALB,19,139,721,
ORD,XNA,19,86,522,
ORD,FAR,17,60,556,
ORD,SBN,32,50,83,
ORD,ANC,14,172,2842,
ORD,IAD,34,165,587,
ORD,JAX,21,90,865,
ORD,GSO,14,80,589,
ORD,BHM,18,50,585,
ORD,CHS,18,113,761,
ORD,GSP,16,74,577,
ORD,SAT,14,130,1044,
ORD,SMF,20,158,1778,
ORD,AVP,14,50,630,
ORD,FNT,12,50,222,
ORD,PVD,14,70,847,
ORD,AVL,18,70,536,
ORD,SAV,20,103,774,
ORD,MBS,19,50,221,
ORD,ORF,14,150,715,
ORD,SCE,20,50,527,
ORD,CAE,14,75,667,
ORD,CAK,17,50,342,
ORD,CHA,20,57,501,
ORD,CHO,14,75,565,
ORD,CRW,18,50,415,
ORD,DLH,20,51,397,
ORD,HSV,13,50,511,
ORD,LNK,20,65,465,
ORD,PWM,14,122,898,
ORD,MYR,8,123,753,
ORD,MCW,50,6,287,
ORD,PBI,7,179,1152,9/26/2024
ORD,ROA,14,68,530,
ORD,TUS,7,126,1443,8/19/2024
ORD,YVR,14,163,1761,
ORD,YYC,13,124,1383,
ORD,YOW,14,68,653,
ORD,YQB,7,76,879,
ORD,ABE,12,50,653,
ORD,ABQ,7,136,1117,
ORD,ASE,14,70,1011,
ORD,BOI,14,104,1435,
ORD,BTV,14,129,761,
ORD,CMX,13,50,359,
ORD,COS,14,70,909,
ORD,ELP,7,75,1236,
ORD,JAC,13,121,1160,
ORD,PNS,8,125,796,
ORD,SJC,11,148,1827,
ORD,BZN,12,164,1183,
ORD,DEC,11,50,156,
ORD,FAT,7,137,1728,
ORD,SRQ,8,148,1052,
ORD,ECP,7,86,812,
ORD,HDN,7,75,1012,12/12/2024
ORD,JST,,,,
ORD,MSO,,,,
ORD,MTJ,,,,
ORD,PSP,7,166,1657,9/26/2024
ORD,RAP,,,,
ORD,RNO,,,,
ORD,SLN,,,,
ORD,SUX,,,,
ORD,YWG,,,,
ORD,HYS,,,,
ORD,BGR,,,,
ORD,FAI,,,,
ORD,FCA,,,,
ORD,GEG,,,,
ORD,HNL,,,,
ORD,EYW,7,120,1261,11/5/2024
ORD,FOD,,,,
ORD,EGE,,,,
ORD,ACK,,,,
ORD,ILM,,,,
ORD,SUN,,,,
ORD,HHH,,,,
ORD,KOA,,,,
ORD,OGG,,,,
ORD,GTF,,,,
ORD,HRL,,,,
