hub,destination,# flights/wk,#flights/yr,Miles,Seats/Flight,,
ORD,HND,7,365.25,,,,
ORD,PEK,7,365.25,,,,
ORD,PCV,7,365.25,,,,
EWR,HND,7,365.25,,,,
EWR,PEK,7,365.25,6853,,3/29/2025,
EWR,PVG,7,365.25,7410,,3/29/2025,
EWR,PVC,7,365.25,,,,
EWR,HKG,7,365.25,,,10/25/2024,777
DEN,HND,7,365.25,,,,
LAX,HND,7,365.25,,,,
LAX,SYD,7,365.25,,,,
LAX,HKG,7,365.25,,,,
LAX,PVG,7,365.25,6508,316,8/29/2024,
LAX,MEL,3,156.5357143,,,,
SFO,TPE,14,730.5,,,,
SFO,ICN,14,730.5,,,,
SFO,NRT,7,365.25,,,,
SFO,SIN,13,678.3214286,,,,
SFO,HKG,14,730.5,,,,
SFO,MNL,7,365.25,,,,
SFO,DEL,7,365.25,,,,
SFO,PEK,7,365.25,,,,
SFO,PVG,7,365.25,,,,
SFO,AKL,3,156.5357143,,,,
SFO,PPT,5,260.8928571,,,,
SFO,KIX,7,365.25,,,,
SFO,MEL,7,365.25,,,,
SFO,BNE,4,208.7142857,,,,
SFO,CTU,3,156.5357143,6894.00,,10/27/2024,
SFO,CHC,3,156.5357143,6966,,12/4/2024,
IAH,NRT,7,365.25,,,,
IAD,HND,7,365.25,,,,
IAD,PEK,7,365.25,,,,
GUM,NRT,25,1304.464286,,,,
GUM,MNL,7,365.25,,,,
GUM,KIX,10,521.7857143,,,,
GUM,FUK,7,365.25,,,,
GUM,HNL,7,365.25,,,,
GUM,NGO,7,365.25,,,,
GUM,SPN,7,365.25,,,,
GUM,HND,7,365.25,,,,
GUM,ROR,6,313.0714286,,,,
GUM,TKK,4,208.7142857,,,,
GUM,YAP,2,104.3571429,,,,
GUM,PNI,1,52.17857143,,,,
,,327,17062.39286,,,,
