hub,destination
SFO,SEA
SFO,LAS
SFO,SAN
SFO,BOS
SFO,DFW
SFO,SLC
SFO,PHX
SFO,MSP
SFO,ATL
SFO,PDX
SFO,SNA
SFO,YVR
SFO,HNL
SFO,YYZ
SFO,BUR
SFO,AUS
SFO,OGG
SFO,FLL
SFO,PSP
SFO,YYC
SFO,BOI
SFO,MCO
SFO,MIA
SFO,ONT
SFO,PHL
SFO,RDM
SFO,RNO
SFO,KOA
SFO,ACV
SFO,ANC
SFO,BNA
SFO,DCA
SFO,EUG
SFO,LIH
SFO,MFR
SFO,RDD
SFO,RDU
SFO,SBA
SFO,SBP
SFO,SMF
SFO,FAT
SFO,PIT
SFO,TUS
SFO,JAC
SFO,ABQ
SFO,ASE
SFO,BWI
SFO,BZN
SFO,CLE
SFO,FCA
SFO,GEG
SFO,IND
SFO,MCI
SFO,MRY
SFO,MSO
SFO,MSY
SFO,OTH
SFO,PSC
SFO,SAT
SFO,TPA
SFO,CMH
SFO,RSW
SFO,BFL
SFO,MTJ
SFO,SDF
SFO,SUN
SFO,BIH
SFO,EGE
SFO,HDN
SFO,OMA
SFO,MSN
