hub,destination,miles,seats/flight,flights/week
EWR,ATL,745.0,142.0,45.0
EWR,MCO,939.0,168.0,52.0
EWR,YYZ,347.0,75.0,46.0
EWR,BOS,200.0,143.0,59.0
EWR,CLT,528.0,131.0,32.0
EWR,FLL,1067.0,174.0,32.0
EWR,DFW,1371.0,147.0,37.0
EWR,DTW,487.0,86.0,32.0
EWR,MIA,1088.0,171.0,25.0
EWR,DCA,198.0,51.0,63.0
EWR,YUL,331.0,72.0,20.0
EWR,LAS,2224.0,169.0,45.0
EWR,PIT,319.0,66.0,52.0
EWR,PHX,2131.0,173.0,26.0
EWR,MSP,1006.0,145.0,20.0
EWR,TPA,999.0,171.0,32.0
EWR,PBI,1026.0,174.0,32.0
EWR,SEA,2398.0,155.0,26.0
EWR,IND,643.0,73.0,40.0
EWR,RDU,416.0,139.0,30.0
EWR,CVG,568.0,64.0,26.0
EWR,BNA,747.0,136.0,32.0
EWR,CLE,403.0,133.0,38.0
EWR,CMH,461.0,90.0,37.0
EWR,YOQ,,,
EWR,RIC,277.0,54.0,34.0
EWR,SAN,2423.0,169.0,27.0
EWR,AUS,1503.0,139.0,25.0
EWR,RSW,1070.0,173.0,19.0
EWR,CHS,628.0,112.0,20.0
EWR,MYR,551.0,93.0,14.0
EWR,MSY,1167.0,132.0,20.0
EWR,PWM,284.0,83.0,24.0
EWR,GSO,445.0,64.0,20.0
EWR,MDT,140.0,50.0,13.0
EWR,BTV,266.0,93.0,20.0
EWR,GRR,604.0,72.0,20.0
EWR,JAX,821.0,131.0,20.0
EWR,ORF,284.0,113.0,20.0
EWR,PDX,2430.0,161.0,13.0
EWR,SDF,641.0,73.0,20.0
EWR,SLC,1965.0,123.0,7.0
EWR,SNA,2431.0,128.0,20.0
EWR,STL,870.0,108.0,20.0
EWR,YHZ,612.0,76.0,13.0
EWR,GSP,594.0,73.0,19.0
EWR,MKE,723.0,75.0,19.0
EWR,ROC,246.0,99.0,19.0
EWR,SYR,194.0,65.0,19.0
EWR,ALB,142.0,58.0,14.0
EWR,BUF,281.0,91.0,18.0
EWR,ILM,489.0,51.0,14.0
EWR,PVD,159.0,57.0,14.0
EWR,SAT,1569.0,138.0,11.0
EWR,AVL,582.0,75.0,14.0
EWR,ACK,217.0,50.0,14.0
EWR,SRQ,1036.0,151.0,14.0
EWR,PHL,79.0,72.0,13.0
EWR,BGR,392.0,75.0,14.0
EWR,ITH,171.0,52.0,14.0
EWR,MHT,209.0,50.0,14.0
EWR,SAV,709.0,134.0,14.0
EWR,YQB,443.0,76.0,14.0
EWR,YVR,2425.0,172.0,7.0
EWR,SCE,192.0,50.0,13.0
EWR,PQI,515.0,51.0,13.0
EWR,AVP,92.0,50.0,12.0
EWR,MCI,1090.0,111.0,13.0
EWR,MEM,945.0,112.0,12.0
EWR,MSN,797.0,75.0,7.0
EWR,BZN,1879.0,142.0,7.0
EWR,EGE,,,
EWR,ANC,3365.0,166.0,6.0
EWR,EYW,1199.0,120.0,7.0
EWR,TVC,643.0,50.0,7.0
EWR,HNL,,,
EWR,JAC,1870.0,119.0,7.0
EWR,MTJ,,,
EWR,HHH,688.0,68.0,7.0
EWR,SMF,2497.0,179.0,7.0
EWR,HDN,,,
EWR,OMA,,,
