destination,hub,flights/week,seats/flight,miles
ATL,IAD,28,139,533
CLT,IAD,28,103,321
DTW,IAD,20,71,382
DFW,IAD,20,128,1170
SYR,IAD,27,51,296
IND,IAD,27,74,475
MSP,IAD,14,71,907
CLE,IAD,28,93,287
CVG,IAD,28,69,387
BUF,IAD,20,57,284
PWM,IAD,27,74,492
ROA,IAD,19,54,176
YYZ,IAD,27,76,346
LGA,IAD,27,72,228
MCO,IAD,27,174,760
RIC,IAD,26,50,99
BTV,IAD,25,62,441
CHS,IAD,20,87,442
DAY,IAD,17,49,367
SAN,IAD,20,237,2251
BDL,IAD,27,108,325
MCI,IAD,14,74,924
SAV,IAD,20,74,516
TYS,IAD,27,49,419
ALB,IAD,27,49,325
AUS,IAD,20,136,1296
ORF,IAD,27,85,157
PIT,IAD,26,70,182
PVD,IAD,26,51,371
RDU,IAD,27,118,224
BNA,IAD,20,152,541
CMH,IAD,26,74,298
ROC,IAD,19,59,288
JAX,IAD,21,145,631
SDF,IAD,20,73,450
CAE,IAD,13,49,401
CHO,IAD,20,49,77
YOW,IAD,19,50,450
TPA,IAD,20,169,812
MSY,IAD,14,135,955
SAT,IAD,14,148,1362
LAS,IAD,14,168,2063
FLL,IAD,13,178,903
HSV,IAD,20,49,595
PHX,IAD,14,170,1954
STL,IAD,14,50,694
MOB,IAD,2,50,835
JST,IAD,6,50,119
MDT,IAD,1,50,93
YVR,IAD,7,156,2341
SCE,IAD,2,50,133
ANC,IAD,7,179,3352
PDX,IAD,7,150,2324
AVP,IAD,1,50,188
RSW,IAD,7,175,893
YYC,IAD,1,166,1949
MIA,IAD,7,167,924
SMF,IAD,7,118,2354
EYW,IAD,,,
SRQ,IAD,,117,
BZN,IAD,2,75,1771
MSN,IAD,,,
TVC,IAD,,76,579
HDN,IAD,,,
HNL,IAD,1,242,4815
MYR,IAD,1,76,372
PBI,IAD,,,
PSP,IAD,,,
GSO,IAD,,,
GSP,IAD,,,
MKE,IAD,,,
